Strain,Uptake,Replicate
Uninfected,0,1
Uninfected,0,1
Uninfected,0,1
WT,468000,1
WT,378000,1
WT,364000,1
ΔsecA2_MOI1,225000,1
ΔsecA2_MOI1,236000,1
ΔsecA2_MOI1,183000,1
ΔsecA2_MOI5,761000,1
ΔsecA2_MOI5,762000,1
ΔsecA2_MOI5,692000,1
ΔsecA2_MOI10,1200000,1
ΔsecA2_MOI10,1042000,1
ΔsecA2_MOI10,1047000,1
ΔsecA2/secA2_MM,123000,1
ΔsecA2/secA2_MM,125000,1
ΔsecA2/secA2_MM,127000,1
ΔsecA2/secA2_MT,173000,1
ΔsecA2/secA2_MT,146000,1
ΔsecA2/secA2_MT,196000,1
ΔesxBA,99000,1
ΔesxBA,149000,1
ΔesxBA,195000,1
WT-HK_MOI10,0,1
WT-HK_MOI10,0,1
WT-HK_MOI10,0,1
Uninfected,0,2
Uninfected,0,2
Uninfected,0,2
WT,439000,2
WT,425000,2
WT,375000,2
ΔsecA2_MOI1,253000,2
ΔsecA2_MOI1,309000,2
ΔsecA2_MOI1,208000,2
ΔsecA2_MOI5,1122000,2
ΔsecA2_MOI5,829000,2
ΔsecA2_MOI5,825000,2
ΔsecA2_MOI10,1572000,2
ΔsecA2_MOI10,1261000,2
ΔsecA2_MOI10,1124000,2
ΔsecA2/secA2_MM,148000,2
ΔsecA2/secA2_MM,153000,2
ΔsecA2/secA2_MM,100000,2
ΔsecA2/secA2_MT,72000,2
ΔsecA2/secA2_MT,71000,2
ΔsecA2/secA2_MT,44000,2
ΔesxBA,229000,2
ΔesxBA,192000,2
ΔesxBA,132000,2
WT-HK_MOI10,0,2
WT-HK_MOI10,0,2
WT-HK_MOI10,0,2
Uninfected,0,3
Uninfected,0,3
Uninfected,0,3
WT,98000,3
WT,106000,3
WT,87000,3
ΔsecA2_MOI1,36000,3
ΔsecA2_MOI1,41000,3
ΔsecA2_MOI1,37000,3
ΔsecA2_MOI5,225000,3
ΔsecA2_MOI5,184000,3
ΔsecA2_MOI5,243000,3
ΔsecA2_MOI10,310000,3
ΔsecA2_MOI10,440000,3
ΔsecA2_MOI10,490000,3
ΔsecA2/secA2_MM,58000,3
ΔsecA2/secA2_MM,43000,3
ΔsecA2/secA2_MM,44000,3
ΔsecA2/secA2_MT,40000,3
ΔsecA2/secA2_MT,32000,3
ΔsecA2/secA2_MT,40000,3
ΔesxBA,85000,3
ΔesxBA,71000,3
ΔesxBA,104000,3
WT-HK_MOI10,50,3
WT-HK_MOI10,25,3
WT-HK_MOI10,0,3
Uninfected,0,4
Uninfected,0,4
Uninfected,0,4
WT,454000,4
WT,445000,4
WT,436000,4
ΔsecA2_MOI1,274000,4
ΔsecA2_MOI1,280000,4
ΔsecA2_MOI1,287000,4
ΔsecA2_MOI5,1006000,4
ΔsecA2_MOI5,1032000,4
ΔsecA2_MOI5,876000,4
ΔsecA2_MOI10,2710000,4
ΔsecA2_MOI10,3120000,4
ΔsecA2_MOI10,1780000,4
ΔsecA2/secA2_MM,155000,4
ΔsecA2/secA2_MM,132000,4
ΔsecA2/secA2_MM,137000,4
ΔsecA2/secA2_MT,255000,4
ΔsecA2/secA2_MT,239000,4
ΔsecA2/secA2_MT,191000,4
ΔesxBA,212000,4
ΔesxBA,209000,4
ΔesxBA,254000,4
WT-HK_MOI10,0,4
WT-HK_MOI10,0,4
WT-HK_MOI10,0,4
Uninfected,0,5
Uninfected,0,5
Uninfected,0,5
WT,281000,5
WT,283000,5
WT,248000,5
ΔsecA2_MOI1,89000,5
ΔsecA2_MOI1,73000,5
ΔsecA2_MOI1,84000,5
ΔsecA2_MOI5,399000,5
ΔsecA2_MOI5,399000,5
ΔsecA2_MOI5,285000,5
ΔsecA2_MOI10,760000,5
ΔsecA2_MOI10,726000,5
ΔsecA2_MOI10,580000,5
ΔsecA2/secA2_MM,120000,5
ΔsecA2/secA2_MM,123000,5
ΔsecA2/secA2_MM,105000,5
ΔsecA2/secA2_MT,166000,5
ΔsecA2/secA2_MT,127000,5
ΔsecA2/secA2_MT,106000,5
ΔesxBA,96000,5
ΔesxBA,94000,5
ΔesxBA,93000,5
WT-HK_MOI10,0,5
WT-HK_MOI10,0,5
WT-HK_MOI10,0,5
