Strain,IFNBper10000bac
Uninfected,0
Uninfected,0
Uninfected,0
WT,1.77236798344668
WT,1.21136861323358
WT,1.30470646339035
ΔsecA2_MOI1,1.52521240702233
ΔsecA2_MOI1,1.51059817323743
ΔsecA2_MOI1,1.82663097883585
ΔsecA2_MOI5,1.98902669318453
ΔsecA2_MOI5,2.01027176442037
ΔsecA2_MOI5,1.9805286646902
ΔsecA2_MOI10,2.67728838279813
ΔsecA2_MOI10,2.54780422751515
ΔsecA2_MOI10,2.40222397558097
ΔsecA2/secA2_MM,4.67729399422743
ΔsecA2/secA2_MM,3.74868609388995
ΔsecA2/secA2_MM,3.86162489257964
ΔsecA2/secA2_MT,2.35955934450461
ΔsecA2/secA2_MT,2.76845993037546
ΔsecA2/secA2_MT,2.98547420779296
ΔesxBA,1.23730989313514
ΔesxBA,0.897388753361797
ΔesxBA,0.836309173558774
WT-HK_MOI10,0
WT-HK_MOI10,0
WT-HK_MOI10,0
Uninfected,0
Uninfected,0
Uninfected,0
WT,1.05140482608455
WT,0.987055370293794
WT,0.918766151903605
ΔsecA2_MOI1,1.24381912384768
ΔsecA2_MOI1,1.05363603836591
ΔsecA2_MOI1,1.04095716600046
ΔsecA2_MOI5,1.07943967333617
ΔsecA2_MOI5,0.948144530108926
ΔsecA2_MOI5,0.921768273657025
ΔsecA2_MOI10,1.30581380319398
ΔsecA2_MOI10,1.26510491428748
ΔsecA2_MOI10,1.21082639574546
ΔsecA2/secA2_MM,2.25853571782691
ΔsecA2/secA2_MM,2.05971034195473
ΔsecA2/secA2_MM,2.36809255759322
ΔsecA2/secA2_MT,5.97432447493158
ΔsecA2/secA2_MT,5.20862002619453
ΔsecA2/secA2_MT,5.02589510092773
ΔesxBA,0.958060852757306
ΔesxBA,0.699133670272985
ΔesxBA,0.61674774857343
WT-HK_MOI10,0
WT-HK_MOI10,0
WT-HK_MOI10,0
Uninfected,0
Uninfected,0
Uninfected,0
WT,5.23270263968401
WT,4.25561083891604
WT,4.2889207866695
ΔsecA2_MOI1,18.331301436219
ΔsecA2_MOI1,14.4200123079056
ΔsecA2_MOI1,13.9381868355771
ΔsecA2_MOI5,11.5083092905481
ΔsecA2_MOI5,10.7154099207113
ΔsecA2_MOI5,10.4676288676373
ΔsecA2_MOI10,10.0782487983667
ΔsecA2_MOI10,9.5427779567994
ΔsecA2_MOI10,9.02945554420202
ΔsecA2/secA2_MM,11.6490780148305
ΔsecA2/secA2_MM,8.70769476631177
ΔsecA2/secA2_MM,8.84139400488081
ΔsecA2/secA2_MT,12.8023409153188
ΔsecA2/secA2_MT,11.8791795061517
ΔsecA2/secA2_MT,10.2347982460727
ΔesxBA,3.04184715781075
ΔesxBA,2.37359879084592
ΔesxBA,2.26256563166774
WT-HK_MOI10,0
WT-HK_MOI10,0
WT-HK_MOI10,0
Uninfected,0
Uninfected,0
Uninfected,0
WT,1.67718829997459
WT,1.48870081004482
WT,1.5211158560837
ΔsecA2_MOI1,1.31308402948685
ΔsecA2_MOI1,1.13775413322161
ΔsecA2_MOI1,1.07105254225114
ΔsecA2_MOI5,1.6307992049219
ΔsecA2_MOI5,1.65279980812071
ΔsecA2_MOI5,1.50649579684861
ΔsecA2_MOI10,1.02209322570163
ΔsecA2_MOI10,1.02799031248283
ΔsecA2_MOI10,0.976812023631702
ΔsecA2/secA2_MM,5.03506609473798
ΔsecA2/secA2_MM,4.82338293245055
ΔsecA2/secA2_MM,4.49073796314174
ΔsecA2/secA2_MT,2.92005479263372
ΔsecA2/secA2_MT,2.70713552428914
ΔsecA2/secA2_MT,2.6977764355707
ΔesxBA,0.662486892081125
ΔesxBA,0.346686974416772
ΔesxBA,0.408422296666946
WT-HK_MOI10,0
WT-HK_MOI10,0
WT-HK_MOI10,0
Uninfected,0
Uninfected,0
Uninfected,0
WT,3.04190522658067
WT,2.50851439679869
WT,2.05555551753939
ΔsecA2_MOI1,12.891293447982
ΔsecA2_MOI1,11.8782363390238
ΔsecA2_MOI1,11.962075548041
ΔsecA2_MOI5,13.8260360838314
ΔsecA2_MOI5,13.9244290982921
ΔsecA2_MOI5,12.9071722874973
ΔsecA2_MOI10,15.4884205089757
ΔsecA2_MOI10,15.0475139233163
ΔsecA2_MOI10,14.2131190074366
ΔsecA2/secA2_MM,5.62601527614166
ΔsecA2/secA2_MM,3.77396378384312
ΔsecA2/secA2_MM,3.09240883467725
ΔsecA2/secA2_MT,6.89267107998635
ΔsecA2/secA2_MT,2.93836011633949
ΔsecA2/secA2_MT,2.88236224866257
ΔesxBA,2.61841355625915
ΔesxBA,0.845051347152826
ΔesxBA,0.486735010381342
WT-HK_MOI10,0
WT-HK_MOI10,0
WT-HK_MOI10,0
