Strain,Uptake,Replicate
Uninfected,0,1
Uninfected,0,1
Uninfected,0,1
WT,930000,1
WT,726000,1
WT,738000,1
ΔsecA2_MOI1,44000,1
ΔsecA2_MOI1,32000,1
ΔsecA2_MOI1,46000,1
ΔsecA2_MOI2.5,64000,1
ΔsecA2_MOI2.5,86000,1
ΔsecA2_MOI2.5,56000,1
ΔsecA2_MOI5,162000,1
ΔsecA2_MOI5,134000,1
ΔsecA2_MOI5,130000,1
ΔsecA2_MOI10,295000,1
ΔsecA2_MOI10,350000,1
ΔsecA2_MOI10,195000,1
ΔsecA2/secA2_MM,362000,1
ΔsecA2/secA2_MM,336000,1
ΔsecA2/secA2_MM,366000,1
ΔsecA2/secA2_MT,328000,1
ΔsecA2/secA2_MT,326000,1
ΔsecA2/secA2_MT,250000,1
ΔesxBA,494000,1
ΔesxBA,348000,1
ΔesxBA,298000,1
WT-HK_MOI10,0,1
WT-HK_MOI10,0,1
WT-HK_MOI10,0,1
Uninfected,0,2
Uninfected,0,2
Uninfected,0,2
WT,696000,2
WT,592000,2
WT,528000,2
ΔsecA2_MOI1,48000,2
ΔsecA2_MOI1,50000,2
ΔsecA2_MOI1,40000,2
ΔsecA2_MOI2.5,162000,2
ΔsecA2_MOI2.5,70000,2
ΔsecA2_MOI2.5,110000,2
ΔsecA2_MOI5,138000,2
ΔsecA2_MOI5,174000,2
ΔsecA2_MOI5,150000,2
ΔsecA2_MOI10,382000,2
ΔsecA2_MOI10,440000,2
ΔsecA2_MOI10,310000,2
ΔsecA2/secA2_MM,374000,2
ΔsecA2/secA2_MM,502000,2
ΔsecA2/secA2_MM,388000,2
ΔsecA2/secA2_MT,336000,2
ΔsecA2/secA2_MT,382000,2
ΔsecA2/secA2_MT,352000,2
ΔesxBA,376000,2
ΔesxBA,382000,2
ΔesxBA,352000,2
WT-HK_MOI10,0,2
WT-HK_MOI10,0,2
WT-HK_MOI10,0,2
Uninfected,0,3
Uninfected,0,3
Uninfected,0,3
Uninfected,0,3
Uninfected,0,3
Uninfected,0,3
WT,512000,3
WT,508000,3
WT,440000,3
WT,638000,3
WT,648000,3
WT,580000,3
ΔsecA2_MOI1,172000,3
ΔsecA2_MOI1,208000,3
ΔsecA2_MOI1,106000,3
ΔsecA2_MOI1,194000,3
ΔsecA2_MOI1,180000,3
ΔsecA2_MOI1,130000,3
ΔsecA2_MOI2.5,476000,3
ΔsecA2_MOI2.5,448000,3
ΔsecA2_MOI2.5,412000,3
ΔsecA2_MOI2.5,592000,3
ΔsecA2_MOI2.5,388000,3
ΔsecA2_MOI2.5,298000,3
ΔsecA2_MOI5,834000,3
ΔsecA2_MOI5,742000,3
ΔsecA2_MOI5,558000,3
ΔsecA2_MOI5,754000,3
ΔsecA2_MOI5,808000,3
ΔsecA2_MOI5,676000,3
ΔsecA2_MOI10,1356000,3
ΔsecA2_MOI10,1170000,3
ΔsecA2_MOI10,1142000,3
ΔsecA2_MOI10,1430000,3
ΔsecA2_MOI10,1364000,3
ΔsecA2_MOI10,1168000,3
ΔsecA2/secA2_MM,164000,3
ΔsecA2/secA2_MM,174000,3
ΔsecA2/secA2_MM,170000,3
ΔsecA2/secA2_MM,200000,3
ΔsecA2/secA2_MM,212000,3
ΔsecA2/secA2_MM,152000,3
ΔsecA2/secA2_MT,176000,3
ΔsecA2/secA2_MT,202000,3
ΔsecA2/secA2_MT,146000,3
ΔsecA2/secA2_MT,186000,3
ΔsecA2/secA2_MT,214000,3
ΔsecA2/secA2_MT,154000,3
ΔesxBA,338000,3
ΔesxBA,286000,3
ΔesxBA,158000,3
ΔesxBA,448000,3
ΔesxBA,248000,3
ΔesxBA,206000,3
WT-HK_MOI10,0,3
WT-HK_MOI10,0,3
WT-HK_MOI10,0,3
WT-HK_MOI10,0,3
WT-HK_MOI10,0,3
WT-HK_MOI10,0,3
Uninfected,0,4
Uninfected,0,4
Uninfected,0,4
Uninfected,0,4
Uninfected,0,4
Uninfected,0,4
WT,586000,4
WT,470000,4
WT,574000,4
WT,532000,4
WT,520000,4
WT,444000,4
ΔsecA2_MOI1,152000,4
ΔsecA2_MOI1,174000,4
ΔsecA2_MOI1,150000,4
ΔsecA2_MOI1,164000,4
ΔsecA2_MOI1,238000,4
ΔsecA2_MOI1,564000,4
ΔsecA2_MOI2.5,402000,4
ΔsecA2_MOI2.5,388000,4
ΔsecA2_MOI2.5,472000,4
ΔsecA2_MOI2.5,386000,4
ΔsecA2_MOI2.5,290000,4
ΔsecA2_MOI2.5,244000,4
ΔsecA2_MOI5,834000,4
ΔsecA2_MOI5,634000,4
ΔsecA2_MOI5,550000,4
ΔsecA2_MOI5,634000,4
ΔsecA2_MOI5,688000,4
ΔsecA2_MOI5,556000,4
ΔsecA2_MOI10,1002000,4
ΔsecA2_MOI10,880000,4
ΔsecA2_MOI10,864000,4
ΔsecA2_MOI10,984000,4
ΔsecA2_MOI10,966000,4
ΔsecA2_MOI10,814000,4
ΔsecA2/secA2_MM,394000,4
ΔsecA2/secA2_MM,404000,4
ΔsecA2/secA2_MM,344000,4
ΔsecA2/secA2_MM,400000,4
ΔsecA2/secA2_MM,432000,4
ΔsecA2/secA2_MM,284000,4
ΔsecA2/secA2_MT,344000,4
ΔsecA2/secA2_MT,354000,4
ΔsecA2/secA2_MT,242000,4
ΔsecA2/secA2_MT,418000,4
ΔsecA2/secA2_MT,240000,4
ΔsecA2/secA2_MT,332000,4
ΔesxBA,320000,4
ΔesxBA,338000,4
ΔesxBA,188000,4
ΔesxBA,296000,4
ΔesxBA,310000,4
ΔesxBA,348000,4
WT-HK_MOI10,0,4
WT-HK_MOI10,0,4
WT-HK_MOI10,0,4
WT-HK_MOI10,0,4
WT-HK_MOI10,0,4
WT-HK_MOI10,0,4
Uninfected,0,5
Uninfected,0,5
Uninfected,0,5
Uninfected,0,5
Uninfected,0,5
Uninfected,0,5
WT,364000,5
