Strain,IFNB_Concentration,Replicate
Uninfected,15.1394646,1
Uninfected,9.55172332,1
Uninfected,19.22636628,1
Uninfected,14.793117,1
Uninfected,8.48959068,1
Uninfected,7.56599708,1
WT,83.64701988,1
WT,84.13190652,1
WT,83.99336748,1
WT,80.50680164,1
WT,75.95810316,1
WT,62.98161308,1
ΔsecA2_MOI1,50.49000964,1
ΔsecA2_MOI1,39.79941372,1
ΔsecA2_MOI1,50.16675188,1
ΔsecA2_MOI1,49.38169732,1
ΔsecA2_MOI1,48.6197326,1
ΔsecA2_MOI1,44.6944598,1
ΔsecA2_MOI2.5,102.8808566,1
ΔsecA2_MOI2.5,78.72888396,1
ΔsecA2_MOI2.5,99.74063836,1
ΔsecA2_MOI2.5,91.38211628,1
ΔsecA2_MOI2.5,75.70411492,1
ΔsecA2_MOI2.5,79.23686044,1
ΔsecA2_MOI5,164.73853796,1
ΔsecA2_MOI5,158.22720308,1
ΔsecA2_MOI5,151.41570028,1
ΔsecA2_MOI5,162.84517108,1
ΔsecA2_MOI5,160.39764804,1
ΔsecA2_MOI5,129.06473516,1
ΔsecA2_MOI10,233.50008148,1
ΔsecA2_MOI10,227.05801612,1
ΔsecA2_MOI10,213.27338164,1
ΔsecA2_MOI10,253.47279308,1
ΔsecA2_MOI10,211.79563188,1
ΔsecA2_MOI10,221.35482564,1
ΔsecA2/secA2_MM,51.66759148,1
ΔsecA2/secA2_MM,40.4228394,1
ΔsecA2/secA2_MM,39.45306612,1
ΔsecA2/secA2_MM,55.50050492,1
ΔsecA2/secA2_MM,47.04962348,1
ΔsecA2/secA2_MM,53.97657548,1
ΔsecA2/secA2_MT,47.71922884,1
ΔsecA2/secA2_MT,49.05843956,1
ΔsecA2/secA2_MT,49.15079892,1
ΔsecA2/secA2_MT,45.36406516,1
ΔsecA2/secA2_MT,45.2717058,1
ΔsecA2/secA2_MT,48.966,1
ΔesxBA,17.47153844,1
ΔesxBA,10.66003564,1
ΔesxBA,15.1394646,1
ΔesxBA,12.96901964,1
ΔesxBA,15.16255444,1
ΔesxBA,17.42535876,1
WT-HK_MOI10,0,1
WT-HK_MOI10,0,1
WT-HK_MOI10,0,1
WT-HK_MOI10,0,1
WT-HK_MOI10,0,1
WT-HK_MOI10,0,1
Uninfected,7.00572297,2
Uninfected,7.57703529000001,2
Uninfected,0.89982255,2
Uninfected,7.82698443,2
Uninfected,7.32708615000001,2
Uninfected,1.3461603,2
WT,65.01177696,2
WT,65.083191,2
WT,48.60440127,2
WT,70.04646678,2
