sample	k	n0	r	t_mid	t_gen	auc_l	auc_e	sigma	note
WT	10.7993535987964	0.218242610605929	0.0443598546813527	87.4939379185023	15.6255512002685	871.194758958915	863.04	0.273656185915018	
ΔsecA2	11.2505788121266	0.142376156206398	0.0335211180738607	129.976766891075	20.6779254508355	506.243187171647	510.76	0.104470098932856	
ΔsecA2/secA2_MM	11.5909300744518	0.199970777563711	0.0444153498169565	91.0136709176536	15.6060277227699	896.206947277996	888.88	0.270177450000755	
ΔsecA2/secA2_MT	11.855054219895	0.211744343115516	0.0426369951089656	93.9819376587049	16.256942563342	884.076385867088	879.159999999999	0.203026111742888	
ΔesxBA	10.9197936218495	0.187671548190426	0.0414758991085222	97.5579390051009	16.7120471275696	778.456416200842	776.44	0.141417437372351	
WT	10.5482309844894	0.19929587472826	0.0452568478877531	87.2762589884935	15.3158519187881	853.007895744297	845.44	0.211069842947756	
ΔsecA2	13.5693555220623	0.141765733296867	0.0293508377155264	155.051481769336	23.6159249449046	411.746190763186	419.56	0.137758896712506	
ΔsecA2/secA2_MM	11.4138039174012	0.196395121969344	0.0438972600458109	92.1491146519401	15.7902151486581	870.381344690943	864.12	0.246710632820596	
ΔsecA2/secA2_MT	11.3659464891782	0.187198188264017	0.0440941976154917	92.7469398901426	15.7196914343311	860.211921280053	854.160000000001	0.229878207228444	
ΔesxBA	10.7925846945343	0.228425431801779	0.0403645156522164	94.9847277519292	17.1721912020982	795.981187150525	789.880000000001	0.205921507365336	
WT	10.8552018501421	0.229043193985865	0.0424045000171619	90.4895336695863	16.3460760126736	845.325436135103	835.04	0.316121941223387	
ΔsecA2	10.7962006924633	0.118651667599684	0.0333877853950382	134.77103986742	20.7605018529607	447.3254761511	453.68	0.128692260323251	
ΔsecA2/secA2_MM	11.5448997921598	0.224211109617436	0.0423357937833321	92.635540176346	16.3726038563813	875.722920962347	870.199999999999	0.202805742982207	
ΔsecA2/secA2_MT	11.4271893071018	0.198578946443578	0.0429312310122472	93.9883032773627	16.1455230659985	851.952081735938	848.079999999999	0.142829037748721	
ΔesxBA	10.4607926798079	0.195454923925079	0.0425600107518021	93.0732482886752	16.2863488123202	789.0850024768	785.4	0.186203380107865	
WT	11.0875368561767	0.289133348545388	0.0407343468494962	88.8750124519774	17.0162831656774	880.740359632774	871.28	0.305952604144258	
ΔsecA2	12.0463773026651	0.0806354320651622	0.030809679595824	162.282273321336	22.4977081765529	304.343563353827	311.56	0.105351823857531	
ΔsecA2/secA2_MM	11.538614396402	0.180172012554661	0.0437151061723413	94.7911354158689	15.8560104561407	851.11708568543	847.999999999999	0.173081821756695	
ΔsecA2/secA2_MT	11.5346203412997	0.187393636700423	0.0426050420549103	96.3152959932937	16.2691349926753	834.898180472139	830.400000000001	0.162096506283539	
ΔesxBA	10.8451924409446	0.213688446798408	0.0410007437361248	95.2923652831837	16.9057221259435	796.356045300443	791.76	0.169526052025988	
WT	10.5535152050844	0.229513305653245	0.0439290613388796	86.6457334686828	15.7787842360855	859.936828568647	853.159999999999	0.18920677740942	
ΔsecA2	11.3277033735123	0.0778629632454676	0.0304229651769463	163.467262075145	22.783682541411	282.075731617834	288.96	0.101784691725179	
ΔsecA2/secA2_MM	11.5995763426933	0.216666849425407	0.0411899854153098	96.176470678094	16.8280511287171	842.061944534603	837.280000000001	0.17131320765361	
ΔsecA2/secA2_MT	11.1705919753825	0.171166594141318	0.0444768823608354	93.5983093775536	15.5844372124945	836.247915857276	833.800000000002	0.145177058619302	
ΔesxBA	10.64911791906	0.210302732588614	0.041992882971572	92.9857160168179	16.5063013422819	804.41772377308	799.6	0.172671877021097	
WT	10.4946423938187	0.217387693466324	0.0440321705255377	87.5724734786525	15.7418353964162	845.87649827824	841.2	0.142191652784857	
ΔsecA2	20.8668472264399	0.107356944945696	0.0263451026243204	199.832190539823	26.3102858411365	280.489395516989	287.2	0.0851873135997914	
ΔsecA2/secA2_MM	12.1300476401137	0.195063677118221	0.0414873132463419	99.1605100110223	16.7074492494657	846.632644234194	842.8	0.197963642628408	
ΔsecA2/secA2_MT	11.1465964046922	0.164548094171255	0.0435624482842162	96.4320078207731	15.9115754017685	805.015658699063	802.88	0.146834004926344	
ΔesxBA	10.994828717786	0.211101516777459	0.0400177330236029	98.2927841996393	17.3210006711555	777.477403678158	775	0.165347193909349	
WT	10.6573354693481	0.253234473553736	0.0453863091852185	81.8669675535921	15.2721645140004	916.964397518559	908.6	0.230135580103536	
ΔsecA2	11.1440047477704	0.129839794289102	0.0337815274875283	131.451607959287	20.5185269024867	487.670549283979	492.4	0.0944432491874214	
ΔsecA2/secA2_MM	11.5670261170926	0.205394566403044	0.0442805456001322	90.6281620197497	15.6535374884332	898.640251199084	893.599999999999	0.199047746809134	
ΔsecA2/secA2_MT	11.4991206584042	0.192394319692861	0.0446328789079868	91.2691756417989	15.529967985908	886.244578171761	880.24	0.224422745229894	
ΔesxBA	10.8078173205558	0.206866609779748	0.0429699511780049	91.6134337950145	16.1309743566743	829.980521750127	824.68	0.208981072526998	
WT	10.7715609561452	0.260459587717444	0.0440510110495514	83.9422171494184	15.7351026467985	905.403506262193	896.080000000001	0.294942517686825	
ΔsecA2	12.2123331688474	0.141437425361036	0.030545314393887	145.576996547011	22.6924225307258	432.388660848199	438.04	0.114937533732349	
ΔsecA2/secA2_MM	11.4986652558414	0.183629229682629	0.044665105328958	92.2637267518237	15.5187629236498	875.317513400714	873.4	0.142125552555304	
ΔsecA2/secA2_MT	11.7222422992306	0.175348763471888	0.0450743677833808	92.8996900669847	15.3778569649847	885.088008021573	880.8	0.211203299453291	
ΔesxBA	10.7586298428014	0.202714308818082	0.0444493169242662	88.9247423203847	15.5941019687872	853.233671675484	847.32	0.241224802576435	
WT	10.6785202226049	0.257769104463396	0.0429038827736341	86.227397558004	16.1558147130196	874.472567092698	866.64	0.230187040403001	
ΔsecA2	12.2454166368356	0.127262856300816	0.0288007884520264	158.197239812027	24.066951559834	354.509725935238	360.2	0.107758540107436	
ΔsecA2/secA2_MM	11.6630800983232	0.203851337973691	0.0427289412735718	94.2957999133233	16.2219601024531	866.265855117417	861.559999999999	0.219131823097858	
ΔsecA2/secA2_MT	11.4065994600905	0.193830572607033	0.0439114490053182	92.4092494927541	15.7851129093006	867.013124771564	860.880000000001	0.237485621579532	
ΔesxBA	11.0600487440308	0.204023515090413	0.0427807258685896	92.8979157677315	16.2023239785388	836.018181892617	831.84	0.1953273595094	
