Strain,Time,Count
WT,2,14500
WT,2,11500
WT,2,10050
WT,2,14050
WT,2,10700
WT,2,9300
WT,2,13300
WT,2,15050
WT,2,14750
ΔsecA2,2,14500
ΔsecA2,2,2350
ΔsecA2,2,1150
ΔsecA2,2,1450
ΔsecA2,2,1900
ΔsecA2,2,1100
ΔsecA2,2,2150
ΔsecA2,2,1300
ΔsecA2,2,900
ΔsecA2/secA2_MM,2,8850
ΔsecA2/secA2_MM,2,5650
ΔsecA2/secA2_MM,2,4600
ΔsecA2/secA2_MM,2,16700
ΔsecA2/secA2_MM,2,10900
ΔsecA2/secA2_MM,2,10300
ΔsecA2/secA2_MM,2,7150
ΔsecA2/secA2_MM,2,8700
ΔsecA2/secA2_MM,2,4650
ΔsecA2/secA2_MT,2,9100
ΔsecA2/secA2_MT,2,6250
ΔsecA2/secA2_MT,2,6150
ΔsecA2/secA2_MT,2,5900
ΔsecA2/secA2_MT,2,5400
ΔsecA2/secA2_MT,2,4450
ΔsecA2/secA2_MT,2,9400
ΔsecA2/secA2_MT,2,8900
ΔsecA2/secA2_MT,2,7300
ΔesxBA,2,9100
ΔesxBA,2,8150
ΔesxBA,2,4850
ΔesxBA,2,6900
ΔesxBA,2,8200
ΔesxBA,2,7050
ΔesxBA,2,9200
ΔesxBA,2,9600
ΔesxBA,2,6100
WT,48,146500
WT,48,135000
WT,48,127500
WT,48,107500
WT,48,134000
WT,48,112500
WT,48,145500
WT,48,128000
WT,48,116500
ΔsecA2,48,14500
ΔsecA2,48,8000
ΔsecA2,48,10500
ΔsecA2,48,4000
ΔsecA2,48,10000
ΔsecA2,48,47000
ΔsecA2,48,16000
ΔsecA2,48,7000
ΔsecA2,48,7000
ΔsecA2/secA2_MM,48,82000
ΔsecA2/secA2_MM,48,70000
ΔsecA2/secA2_MM,48,53500
ΔsecA2/secA2_MM,48,55000
ΔsecA2/secA2_MM,48,56000
ΔsecA2/secA2_MM,48,61000
ΔsecA2/secA2_MM,48,87500
ΔsecA2/secA2_MM,48,87500
ΔsecA2/secA2_MM,48,73500
ΔsecA2/secA2_MT,48,54500
ΔsecA2/secA2_MT,48,51000
ΔsecA2/secA2_MT,48,51500
ΔsecA2/secA2_MT,48,66000
ΔsecA2/secA2_MT,48,67000
ΔsecA2/secA2_MT,48,63000
ΔsecA2/secA2_MT,48,71000
