Strain,Value,Transcript
WT,1.01919530325089,Ifn-β
WT,0.981166216926567,Ifn-β
ΔsecA2,1.13949835195011,Ifn-β
ΔsecA2,0.75640030563797,Ifn-β
ΔsecA2/secA2_MM,1.4376624987057,Ifn-β
ΔsecA2/secA2_MM,1.87495015868708,Ifn-β
ΔsecA2/secA2_MT,1.23627096560289,Ifn-β
ΔsecA2/secA2_MT,1.1868691681949,Ifn-β
ΔesxBA,0.0916681357586206,Ifn-β
ΔesxBA,0.0753511325547551,Ifn-β
WT,1.08287250683969,Irf7
WT,0.923469747069714,Irf7
ΔsecA2,0.79336787056702,Irf7
ΔsecA2,0.650983964976125,Irf7
ΔsecA2/secA2_MM,1.85418196440165,Irf7
ΔsecA2/secA2_MM,1.79770775101799,Irf7
ΔsecA2/secA2_MT,0.923869065953647,Irf7
ΔsecA2/secA2_MT,0.811414039423468,Irf7
ΔesxBA,0.374294147708591,Irf7
ΔesxBA,0.430122998400904,Irf7
WT,1.03357063412204,Rig-I
WT,0.967519748516699,Rig-I
ΔsecA2,1.00191255307713,Rig-I
ΔsecA2,1.49617437185938,Rig-I
ΔsecA2/secA2_MM,1.54832692522152,Rig-I
ΔsecA2/secA2_MM,1.52305638898696,Rig-I
ΔsecA2/secA2_MT,0.817659898904921,Rig-I
ΔsecA2/secA2_MT,0.866019782344197,Rig-I
ΔesxBA,0.390923445982355,Rig-I
ΔesxBA,0.421234237418414,Rig-I
WT,1.0191926083526,Ifn-β
WT,0.981168811277367,Ifn-β
ΔsecA2,0.365551658285099,Ifn-β
ΔsecA2,0.748727112115266,Ifn-β
ΔsecA2/secA2_MM,4.86212386443452,Ifn-β
ΔsecA2/secA2_MM,1.94426091751665,Ifn-β
ΔsecA2/secA2_MT,2.22362362725645,Ifn-β
ΔsecA2/secA2_MT,2.13476406802567,Ifn-β
ΔesxBA,0.0263478316745382,Ifn-β
ΔesxBA,0.0400299468593537,Ifn-β
WT,1.27762218155688,Irf7
WT,0.782704006266881,Irf7
ΔsecA2,0.374816201054937,Irf7
ΔsecA2,0.785689368987702,Irf7
ΔsecA2/secA2_MM,1.1991780325739,Irf7
ΔsecA2/secA2_MM,0.644265579518935,Irf7
ΔsecA2/secA2_MT,1.22353243049462,Irf7
ΔsecA2/secA2_MT,0.670022636314243,Irf7
ΔesxBA,0.121875657159343,Irf7
ΔesxBA,0.101912057233668,Irf7
WT,0.822247539739084,Rig-I
WT,1.216178768157,Rig-I
ΔsecA2,0.494482586946216,Rig-I
ΔsecA2,0.454815626850843,Rig-I
ΔsecA2/secA2_MM,1.02895823524528,Rig-I
ΔsecA2/secA2_MM,1.19475185385384,Rig-I
ΔsecA2/secA2_MT,1.70831491317317,Rig-I
ΔsecA2/secA2_MT,1.60260456505691,Rig-I
ΔesxBA,0.195456877775036,Rig-I
ΔesxBA,0.23366097525087,Rig-I
